Index,Home type,Age,Number of rooms,CO2 Emissions [tonnes/year] (mean),CO2 Emissions [tonnes/year] (median),Number of properties,Percentage of total
0,Detached,Pre 1900,1-2 rooms,3.08,2.8,10003,0.07
1,Detached,Pre 1900,3-4 rooms,4.85,4.6,28803,0.2
2,Detached,Pre 1900,5-6 rooms,7.03,6.8,32757,0.23
3,Detached,Pre 1900,7-9 rooms,8.57,8.6,28163,0.2
4,Detached,Pre 1900,10+ rooms,9.85,10.0,3600,0.03
5,Detached,1900-1950,1-2 rooms,2.74,2.5,20862,0.15
6,Detached,1900-1950,3-4 rooms,4.38,4.1,98403,0.7
7,Detached,1900-1950,5-6 rooms,6.35,6.1,150946,1.07
8,Detached,1900-1950,7-9 rooms,7.91,7.8,104929,0.74
9,Detached,1900-1950,10+ rooms,9.36,9.6,9539,0.07
10,Detached,1950-1975,1-2 rooms,2.13,2.0,55468,0.39
11,Detached,1950-1975,3-4 rooms,3.81,3.6,287246,2.04
12,Detached,1950-1975,5-6 rooms,5.42,5.1,317373,2.25
13,Detached,1950-1975,7-9 rooms,6.78,6.5,142919,1.01
14,Detached,1950-1975,10+ rooms,8.34,8.3,7677,0.05
15,Detached,1976-1990,1-2 rooms,1.93,1.8,30100,0.21
16,Detached,1976-1990,3-4 rooms,3.38,3.2,132037,0.94
17,Detached,1976-1990,5-6 rooms,4.56,4.3,222254,1.58
18,Detached,1976-1990,7-9 rooms,5.82,5.5,128478,0.91
19,Detached,1976-1990,10+ rooms,7.94,7.9,6218,0.04
20,Detached,Post 1900,1-2 rooms,1.35,1.2,11148,0.08
21,Detached,Post 1900,3-4 rooms,1.93,1.7,51116,0.36
22,Detached,Post 1900,5-6 rooms,3.29,3.1,71987,0.51
23,Detached,Post 1900,7-9 rooms,4.38,4.1,77711,0.55
24,Detached,Post 1900,10+ rooms,6.96,6.6,7046,0.05
25,Semi-Detached,Pre 1900,1-2 rooms,2.81,2.6,21102,0.15
26,Semi-Detached,Pre 1900,3-4 rooms,4.39,4.1,69795,0.49
27,Semi-Detached,Pre 1900,5-6 rooms,6.24,5.9,60930,0.43
28,Semi-Detached,Pre 1900,7-9 rooms,8.38,8.4,27555,0.2
29,Semi-Detached,Pre 1900,10+ rooms,9.91,10.0,2081,0.01
30,Semi-Detached,1900-1950,1-2 rooms,2.46,2.3,71087,0.5
31,Semi-Detached,1900-1950,3-4 rooms,3.82,3.6,536160,3.8
32,Semi-Detached,1900-1950,5-6 rooms,4.96,4.7,747679,5.3
33,Semi-Detached,1900-1950,7-9 rooms,6.93,6.6,124947,0.89
34,Semi-Detached,1900-1950,10+ rooms,8.61,8.9,4317,0.03
35,Semi-Detached,1950-1975,1-2 rooms,2.09,2.0,131212,0.93
36,Semi-Detached,1950-1975,3-4 rooms,3.38,3.2,796272,5.64
37,Semi-Detached,1950-1975,5-6 rooms,4.21,4.0,679118,4.81
38,Semi-Detached,1950-1975,7-9 rooms,5.27,5.0,55377,0.39
39,Semi-Detached,1950-1975,10+ rooms,5.92,5.5,1103,0.01
40,Semi-Detached,1976-1990,1-2 rooms,1.89,1.8,50272,0.36
41,Semi-Detached,1976-1990,3-4 rooms,2.81,2.7,223977,1.59
42,Semi-Detached,1976-1990,5-6 rooms,3.52,3.3,119083,0.84
43,Semi-Detached,1976-1990,7-9 rooms,4.61,4.3,9640,0.07
44,Semi-Detached,1976-1990,10+ rooms,5.86,5.5,263,0.0
45,Semi-Detached,Post 1900,1-2 rooms,1.23,1.2,17743,0.13
46,Semi-Detached,Post 1900,3-4 rooms,1.82,1.7,102146,0.72
47,Semi-Detached,Post 1900,5-6 rooms,2.62,2.5,55210,0.39
48,Semi-Detached,Post 1900,7-9 rooms,3.74,3.5,6547,0.05
49,Semi-Detached,Post 1900,10+ rooms,5.61,5.25,216,0.0
50,Terrace,Pre 1900,1-2 rooms,2.52,2.3,77731,0.55
51,Terrace,Pre 1900,3-4 rooms,3.97,3.7,398048,2.82
52,Terrace,Pre 1900,5-6 rooms,5.59,5.3,239972,1.7
53,Terrace,Pre 1900,7-9 rooms,7.83,7.7,54740,0.39
54,Terrace,Pre 1900,10+ rooms,9.37,9.7,3136,0.02
55,Terrace,1900-1950,1-2 rooms,2.35,2.2,148808,1.05
56,Terrace,1900-1950,3-4 rooms,3.66,3.5,1010688,7.16
57,Terrace,1900-1950,5-6 rooms,4.81,4.5,707889,5.02
58,Terrace,1900-1950,7-9 rooms,6.91,6.7,85809,0.61
59,Terrace,1900-1950,10+ rooms,8.29,8.55,3584,0.03
60,Terrace,1950-1975,1-2 rooms,2.0,1.9,210010,1.49
61,Terrace,1950-1975,3-4 rooms,3.09,2.9,808179,5.73
62,Terrace,1950-1975,5-6 rooms,3.69,3.5,443828,3.15
63,Terrace,1950-1975,7-9 rooms,4.89,4.6,16241,0.12
64,Terrace,1950-1975,10+ rooms,5.15,4.8,479,0.0
65,Terrace,1976-1990,1-2 rooms,1.78,1.7,135388,0.96
66,Terrace,1976-1990,3-4 rooms,2.54,2.4,316507,2.24
67,Terrace,1976-1990,5-6 rooms,3.27,3.1,117415,0.83
68,Terrace,1976-1990,7-9 rooms,4.41,4.1,5897,0.04
69,Terrace,1976-1990,10+ rooms,4.54,3.95,166,0.0
70,Terrace,Post 1900,1-2 rooms,1.15,1.1,42496,0.3
71,Terrace,Post 1900,3-4 rooms,1.72,1.6,197945,1.4
72,Terrace,Post 1900,5-6 rooms,2.62,2.5,86796,0.62
73,Terrace,Post 1900,7-9 rooms,3.45,3.2,10995,0.08
74,Terrace,Post 1900,10+ rooms,4.96,4.3,247,0.0
75,Flat,Pre 1900,1-2 rooms,2.49,2.3,92159,0.65
76,Flat,Pre 1900,3-4 rooms,3.5,3.2,132669,0.94
77,Flat,Pre 1900,5-6 rooms,5.54,5.2,14995,0.11
78,Flat,Pre 1900,7-9 rooms,7.36,7.2,1379,0.01
79,Flat,Pre 1900,10+ rooms,7.64,8.9,73,0.0
80,Flat,1900-1950,1-2 rooms,2.33,2.2,203267,1.44
81,Flat,1900-1950,3-4 rooms,3.09,2.9,402073,2.85
82,Flat,1900-1950,5-6 rooms,4.69,4.4,31167,0.22
83,Flat,1900-1950,7-9 rooms,6.52,6.3,2061,0.01
84,Flat,1900-1950,10+ rooms,5.78,4.5,123,0.0
85,Flat,1950-1975,1-2 rooms,1.93,1.8,284829,2.02
86,Flat,1950-1975,3-4 rooms,2.57,2.4,440364,3.12
87,Flat,1950-1975,5-6 rooms,3.51,3.2,16559,0.12
88,Flat,1950-1975,7-9 rooms,5.21,4.85,416,0.0
89,Flat,1950-1975,10+ rooms,3.27,2.4,98,0.0
90,Flat,1976-1990,1-2 rooms,1.69,1.6,157656,1.12
91,Flat,1976-1990,3-4 rooms,2.14,2.0,141694,1.0
92,Flat,1976-1990,5-6 rooms,3.14,2.8,4460,0.03
93,Flat,1976-1990,7-9 rooms,4.63,4.1,200,0.0
94,Flat,1976-1990,10+ rooms,2.91,2.0,35,0.0
95,Flat,Post 1900,1-2 rooms,1.15,1.1,65022,0.46
96,Flat,Post 1900,3-4 rooms,1.47,1.4,191756,1.36
97,Flat,Post 1900,5-6 rooms,2.37,2.2,4478,0.03
98,Flat,Post 1900,7-9 rooms,3.13,2.7,358,0.0
99,Flat,Post 1900,10+ rooms,2.86,1.9,58,0.0
100,Bungalow,Pre 1900,1-2 rooms,3.37,3.2,1600,0.01
101,Bungalow,Pre 1900,3-4 rooms,4.85,4.5,4577,0.03
102,Bungalow,Pre 1900,5-6 rooms,6.36,6.1,2415,0.02
103,Bungalow,Pre 1900,7-9 rooms,7.91,7.9,654,0.0
104,Bungalow,Pre 1900,10+ rooms,9.48,9.3,31,0.0
105,Bungalow,1900-1950,1-2 rooms,2.48,2.3,20450,0.14
106,Bungalow,1900-1950,3-4 rooms,4.2,3.9,92157,0.65
107,Bungalow,1900-1950,5-6 rooms,5.81,5.5,54478,0.39
108,Bungalow,1900-1950,7-9 rooms,7.28,7.0,11706,0.08
109,Bungalow,1900-1950,10+ rooms,8.47,8.6,408,0.0
110,Bungalow,1950-1975,1-2 rooms,2.26,2.2,105839,0.75
111,Bungalow,1950-1975,3-4 rooms,3.61,3.3,370749,2.63
112,Bungalow,1950-1975,5-6 rooms,5.1,4.8,168774,1.2
113,Bungalow,1950-1975,7-9 rooms,6.68,6.4,25160,0.18
114,Bungalow,1950-1975,10+ rooms,7.65,7.5,826,0.01
115,Bungalow,1976-1990,1-2 rooms,2.19,2.1,32613,0.23
116,Bungalow,1976-1990,3-4 rooms,3.08,2.9,126799,0.9
117,Bungalow,1976-1990,5-6 rooms,4.56,4.3,47469,0.34
118,Bungalow,1976-1990,7-9 rooms,6.28,6.0,8463,0.06
119,Bungalow,1976-1990,10+ rooms,7.6,7.7,357,0.0
120,Bungalow,Post 1900,1-2 rooms,1.58,1.5,2734,0.02
121,Bungalow,Post 1900,3-4 rooms,2.15,2.0,16796,0.12
122,Bungalow,Post 1900,5-6 rooms,3.36,3.2,7484,0.05
123,Bungalow,Post 1900,7-9 rooms,4.74,4.6,2038,0.01
124,Bungalow,Post 1900,10+ rooms,6.35,6.2,86,0.0
